,StochAstic_k,StochAstic_d,StochAstic_smooth_k,StochAstic_mamod,StochAstic_column_div,Divergence_num_exteremes_min,Divergence_num_exteremes_max,Divergence_diff_extereme,BestFinder_n_clusters,BestFinder_alpha,Runner_methode1__lenght_data_5M,Runner_methode1__lenght_data_1H,ExtremePoints_num_max_5M,ExtremePoints_num_min_5M,ExtremePoints_weight_5M,ExtremePoints_num_max_1H,ExtremePoints_num_min_1H,ExtremePoints_weight_1H,TrendLines_num_max_5M,TrendLines_num_min_5M,TrendLines_weight_5M,TrendLines_num_max_1H,TrendLines_num_min_1H,TrendLines_weight_1H,TrendLines_length_long_5M,TrendLines_length_mid_5M,TrendLines_length_short1_5M,TrendLines_length_short2_5M,TrendLines_length_long_1H,TrendLines_length_mid_1H,TrendLines_length_short1_1H,TrendLines_length_short2_1H,TrendLines_power_long_5M,TrendLines_power_mid_5M,TrendLines_power_short1_5M,TrendLines_power_short2_5M,TrendLines_power_long_1H,TrendLines_power_mid_1H,TrendLines_power_short1_1H,TrendLines_power_short2_1H,IchimokouFlatLines_tenkan_5M,IchimokouFlatLines_kijun_5M,IchimokouFlatLines_senkou_5M,IchimokouFlatLines_n_cluster_5M,IchimokouFlatLines_weight_5M,IchimokouFlatLines_tenkan_1H,IchimokouFlatLines_kijun_1H,IchimokouFlatLines_senkou_1H,IchimokouFlatLines_n_cluster_1H,IchimokouFlatLines_weight_1H,BestFinder_n_cluster_low,BestFinder_n_cluster_high,BestFinder_alpha_low,BestFinder_alpha_high,st_percent_min,st_percent_max,tp_percent_min,tp_percent_max,ExtremePoints_status,ExtremePoints_T_5M,ExtremePoints_T_1H,TrendLines_status,TrendLines_T_5M,TrendLines_long_T_5M,TrendLines_mid_T_5M,TrendLines_short1_T_5M,TrendLines_short2_T_5M,TrendLines_T_1H,TrendLines_long_T_1H,TrendLines_mid_T_1H,TrendLines_short1_T_1H,TrendLines_short2_T_1H,IchimokouFlatLines_T_5M,IchimokouFlatLines_T_1H,IchimokouFlatLines_status,score,islearned,isborn,corr,corr_low,corr_high
0,157.0,618.0,49.0,sma,StochAstic_k,251.0,477.0,4.0,14.0,0.29,1524.0,856.0,281.0,70.0,896.0,385.0,29.0,603.0,350.0,149.0,597.0,368.0,190.0,460.0,704.0,517.0,409.0,326.0,958.0,915.0,364.0,298.0,516.0,697.0,869.0,270.0,621.0,584.0,827.0,871.0,8.0,13.0,26.0,4.0,31.0,10.0,32.0,17.0,9.0,465.0,23.0,12.0,0.4,0.33,0.32,0.81,0.82,1.15,1.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0,1.0,0.0,1.0,1.0,0.0,0.0,1.0,14.42617619188696,1.0,0.0,-0.1036227485130258,-0.1036187377460149,-0.1052753885508038
1,146.0,698.0,38.0,wma,StochAstic_k,282.0,414.0,3.0,17.0,0.04,2615.0,953.0,86.0,284.0,272.0,365.0,379.0,510.0,310.0,133.0,326.0,187.0,376.0,537.0,937.0,572.0,494.0,343.0,594.0,571.0,450.0,363.0,203.0,272.0,967.0,484.0,198.0,760.0,74.0,706.0,18.0,41.0,10.0,5.0,966.0,9.0,31.0,86.0,6.0,436.0,18.0,13.0,0.12,0.06,0.41,0.51,0.91,0.98,False,False,True,True,False,False,True,False,True,True,True,False,True,True,True,False,False,14.950346504305315,True,False,-0.0709106267945174,-0.0618124587412866,-0.0627003732624384
2,129.0,705.0,41.0,wma,StochAstic_k,81.0,554.0,3.0,20.0,0.21,1837.0,974.0,100.0,377.0,526.0,197.0,97.0,137.0,378.0,118.0,848.0,115.0,267.0,845.0,981.0,589.0,430.0,425.0,767.0,668.0,492.0,336.0,1000.0,583.0,741.0,623.0,171.0,299.0,504.0,757.0,2.0,8.0,94.0,10.0,246.0,4.0,30.0,26.0,3.0,990.0,14.0,19.0,0.16,0.14,0.88,0.84,0.84,0.94,True,False,False,False,True,False,False,True,False,True,False,False,False,False,False,True,True,9.688116981861466,True,False,-0.0180226424949683,-0.0075843007260616,-0.0113509169506456
3,116.0,735.0,50.0,wma,StochAstic_d,240.0,502.0,6.0,14.0,0.15,1068.0,512.0,275.0,261.0,220.0,233.0,269.0,699.0,384.0,112.0,782.0,111.0,264.0,374.0,814.0,533.0,458.0,288.0,600.0,592.0,364.0,268.0,277.0,69.0,722.0,133.0,369.0,903.0,223.0,38.0,21.0,34.0,75.0,8.0,701.0,18.0,42.0,86.0,12.0,125.0,1.0,13.0,0.32,0.17,0.8,0.92,0.89,0.8,True,False,True,False,True,True,False,True,False,False,True,True,True,False,True,False,False,6.896402705041046,True,False,-0.0716138118068239,-0.0689313162606938,-0.068309199774688
4,125.0,840.0,50.0,sma,StochAstic_d,104.0,524.0,5.0,10.0,0.38,2974.0,780.0,49.0,315.0,452.0,319.0,29.0,947.0,24.0,51.0,304.0,138.0,281.0,335.0,791.0,655.0,388.0,282.0,746.0,660.0,405.0,404.0,263.0,454.0,242.0,967.0,238.0,773.0,379.0,915.0,22.0,59.0,30.0,7.0,970.0,5.0,32.0,65.0,18.0,652.0,2.0,5.0,0.06,0.2,0.93,0.96,0.94,0.99,False,False,True,True,True,False,False,True,False,True,True,False,False,False,False,False,True,8.958381572540343,True,False,-0.073380136396752,-0.0772653734555496,-0.0799043939697416
5,137.0,576.0,45.0,sma,StochAstic_k,225.0,523.0,5.0,12.0,0.27,1392.0,237.0,113.0,28.0,879.0,14.0,74.0,564.0,175.0,54.0,207.0,36.0,285.0,702.0,857.0,549.0,482.0,321.0,637.0,614.0,392.0,258.0,481.0,544.0,707.0,854.0,565.0,445.0,123.0,83.0,7.0,41.0,16.0,12.0,316.0,17.0,41.0,70.0,6.0,806.0,1.0,4.0,0.23,0.29,0.46,0.63,0.88,1.01,False,True,False,False,True,True,True,False,False,False,False,True,True,False,False,True,False,10.111410939390304,True,False,-0.0197082927206283,-0.0083676691309972,-0.0093350454611357
6,84.0,293.0,29.0,wma,StochAstic_k,136.0,80.0,5.0,18.0,0.2,1404.0,741.0,107.0,9.0,87.0,195.0,154.0,262.0,157.0,58.0,666.0,283.0,326.0,193.0,882.0,824.0,463.0,366.0,710.0,668.0,399.0,379.0,202.0,613.0,676.0,69.0,744.0,946.0,357.0,892.0,30.0,46.0,40.0,9.0,415.0,10.0,47.0,82.0,20.0,661.0,7.0,2.0,0.19,0.04,0.39,0.75,0.72,0.96,True,False,False,True,True,False,False,True,True,False,False,True,True,False,True,True,True,26.62955507814765,True,False,-0.1513593231562184,-0.076289251247875,-0.0780982304737447
7,126.0,285.0,26.0,wma,StochAstic_k,70.0,109.0,4.0,17.0,0.17,2991.0,600.0,76.0,213.0,226.0,389.0,256.0,60.0,114.0,140.0,783.0,97.0,275.0,571.0,680.0,540.0,422.0,342.0,991.0,815.0,374.0,346.0,218.0,402.0,971.0,997.0,289.0,199.0,203.0,22.0,2.0,40.0,102.0,19.0,388.0,10.0,40.0,18.0,18.0,507.0,12.0,3.0,0.36,0.33,0.51,0.54,0.82,0.83,True,True,True,True,False,True,True,True,False,False,False,False,True,True,True,True,True,32.874077664567054,True,False,-0.119524891367933,-0.0644829032766698,-0.0665345797312031
8,97.0,249.0,30.0,ema,StochAstic_k,87.0,94.0,4.0,15.0,0.14,1729.0,602.0,108.0,249.0,785.0,300.0,132.0,689.0,27.0,61.0,643.0,109.0,88.0,822.0,731.0,723.0,479.0,442.0,980.0,729.0,443.0,441.0,410.0,693.0,298.0,718.0,917.0,714.0,837.0,725.0,2.0,38.0,55.0,3.0,155.0,17.0,38.0,45.0,13.0,681.0,19.0,17.0,0.25,0.21,0.88,0.98,0.85,0.97,False,True,True,True,False,False,False,False,True,True,True,False,False,False,False,False,True,24.093642001957104,True,False,-0.1257126287129323,-0.0669244781065179,-0.0693598206121501
9,107.0,241.0,33.0,ema,StochAstic_k,258.0,99.0,5.0,3.0,0.2,1823.0,758.0,28.0,180.0,344.0,94.0,248.0,940.0,124.0,29.0,537.0,98.0,373.0,904.0,813.0,517.0,335.0,272.0,873.0,505.0,357.0,255.0,358.0,259.0,827.0,358.0,549.0,319.0,814.0,414.0,16.0,36.0,91.0,9.0,849.0,8.0,42.0,101.0,4.0,212.0,4.0,9.0,0.36,0.14,0.44,0.84,0.97,0.82,False,False,True,False,False,False,True,True,True,False,True,False,True,True,False,False,True,19.97167537439193,True,False,-0.1719051760529497,-0.0990924318422654,-0.100916611914628
10,114.0,296.0,31.0,sma,StochAstic_k,118.0,90.0,6.0,17.0,0.2,2401.0,857.0,347.0,363.0,814.0,37.0,152.0,856.0,214.0,143.0,375.0,270.0,185.0,650.0,990.0,798.0,420.0,372.0,910.0,651.0,283.0,250.0,4.0,325.0,742.0,786.0,258.0,620.0,201.0,386.0,24.0,50.0,62.0,15.0,889.0,11.0,29.0,39.0,14.0,84.0,25.0,18.0,0.34,0.15,0.31,0.73,0.71,1.03,False,False,False,False,True,False,False,False,True,True,False,True,False,False,False,False,True,53.0259385595578,True,False,-0.1671478237522248,-0.0883980134807648,-0.0910818158769365
11,105.0,235.0,30.0,wma,StochAstic_k,182.0,78.0,6.0,11.0,0.17,352.0,439.0,317.0,350.0,958.0,97.0,152.0,55.0,300.0,12.0,626.0,188.0,181.0,708.0,851.0,681.0,431.0,324.0,726.0,593.0,434.0,310.0,823.0,453.0,263.0,524.0,481.0,245.0,867.0,940.0,21.0,54.0,79.0,17.0,749.0,18.0,43.0,6.0,12.0,400.0,4.0,25.0,0.39,0.26,0.8,0.99,0.94,0.89,True,True,False,False,True,True,True,False,True,True,True,True,True,False,False,True,True,17.83278778741417,True,False,-0.1886418776417314,-0.102069984307706,-0.1030850307493245
