,RSI_apply_to,RSI_length,Divergence_num_exteremes_min,Divergence_num_exteremes_max,Divergence_diff_extereme,BestFinder_n_clusters,BestFinder_alpha,Runner_methode1__lenght_data_5M,Runner_methode1__lenght_data_1H,ExtremePoints_num_max_5M,ExtremePoints_num_min_5M,ExtremePoints_weight_5M,ExtremePoints_num_max_1H,ExtremePoints_num_min_1H,ExtremePoints_weight_1H,TrendLines_num_max_5M,TrendLines_num_min_5M,TrendLines_weight_5M,TrendLines_num_max_1H,TrendLines_num_min_1H,TrendLines_weight_1H,TrendLines_length_long_5M,TrendLines_length_mid_5M,TrendLines_length_short1_5M,TrendLines_length_short2_5M,TrendLines_length_long_1H,TrendLines_length_mid_1H,TrendLines_length_short1_1H,TrendLines_length_short2_1H,TrendLines_power_long_5M,TrendLines_power_mid_5M,TrendLines_power_short1_5M,TrendLines_power_short2_5M,TrendLines_power_long_1H,TrendLines_power_mid_1H,TrendLines_power_short1_1H,TrendLines_power_short2_1H,IchimokouFlatLines_tenkan_5M,IchimokouFlatLines_kijun_5M,IchimokouFlatLines_senkou_5M,IchimokouFlatLines_n_cluster_5M,IchimokouFlatLines_weight_5M,IchimokouFlatLines_tenkan_1H,IchimokouFlatLines_kijun_1H,IchimokouFlatLines_senkou_1H,IchimokouFlatLines_n_cluster_1H,IchimokouFlatLines_weight_1H,BestFinder_n_cluster_low,BestFinder_n_cluster_high,BestFinder_alpha_low,BestFinder_alpha_high,st_percent_min,st_percent_max,tp_percent_min,tp_percent_max,ExtremePoints_status,ExtremePoints_T_5M,ExtremePoints_T_1H,TrendLines_status,TrendLines_T_5M,TrendLines_long_T_5M,TrendLines_mid_T_5M,TrendLines_short1_T_5M,TrendLines_short2_T_5M,TrendLines_T_1H,TrendLines_long_T_1H,TrendLines_mid_T_1H,TrendLines_short1_T_1H,TrendLines_short2_T_1H,IchimokouFlatLines_T_5M,IchimokouFlatLines_T_1H,IchimokouFlatLines_status,score,islearned,isborn,corr,corr_low,corr_high
0,low,4,28,16,2,16,0.18,2711,618,183,126,966,301,42,354,146,380,474,206,24,868,987,797,409,407,917,689,328,304,966,602,639,537,908,851,558,508,4,8,82,10,246,15,32,62,20,682,8,17,0.08,0.15,0.61,0.7,0.76,0.85,False,False,False,True,False,False,False,False,True,False,False,False,True,True,True,False,False,6.032823484860533,True,False,-0.0962148721754108,-0.0264347766877651,-0.0258785531405502
1,HLCC/4,4,113,14,1,8,0.14,2649,446,199,84,250,223,264,362,369,372,669,237,236,113,842,836,411,310,831,633,441,359,543,993,972,278,392,125,582,955,13,49,19,14,17,10,27,61,12,191,10,14,0.24,0.28,0.58,0.83,0.83,0.86,False,False,False,False,True,False,True,True,False,True,True,False,False,False,False,True,True,6.032823484860533,True,False,-0.09621487217541082,-0.026434776687765137,-0.025878553140550205
2,OHLC/4,6,354,17,5,12,0.08,772,511,85,83,639,253,301,667,131,22,700,331,347,221,692,610,413,284,953,588,460,259,806,467,726,363,965,877,825,377,7,14,92,7,322,17,50,92,20,658,13,20,0.36,0.12,0.34,0.45,0.49,0.62,False,True,True,False,True,False,False,False,False,True,True,False,False,False,True,False,False,15.562839590832438,True,False,-0.1255595308689085,-0.02759473400796262,-0.025491697007396844
3,low,5,360,19,4,15,0.04,496,257,320,360,6,373,92,563,78,348,518,35,149,500,769,679,457,317,858,563,469,262,794,536,466,757,836,572,429,783,2,46,84,12,62,3,38,75,11,896,7,19,0.05,0.2,0.19,0.22,0.36,0.39,True,False,True,False,True,True,True,False,True,True,True,True,False,False,False,True,True,26.13381400634065,True,False,-0.06003573378990785,-0.010392927255707457,-0.009060278713795012
4,low,5,312,13,2,7,0.02,422,586,92,140,380,148,197,940,281,325,696,301,24,440,858,575,486,265,815,642,301,296,235,122,381,13,988,430,764,271,9,36,8,16,37,9,39,63,13,88,13,4,0.11,0.03,0.1,0.11,0.25,0.27,True,False,False,True,False,True,True,False,False,True,True,True,True,False,True,False,False,23.845682438892986,True,False,-0.12745210673782786,-0.038592476161776225,-0.03756731909808208
5,low,4,222,15,5,17,0.31,1342,630,129,173,284,353,147,489,308,81,965,359,253,999,974,891,496,484,587,508,394,317,993,298,564,351,239,491,632,201,19,22,12,14,373,9,41,34,2,745,16,24,0.1,0.16,0.47,0.82,0.58,0.88,True,True,True,True,False,True,False,True,True,False,False,False,False,True,False,True,False,8.29365483374492,True,False,-0.14312593694770645,-0.030264785837640917,-0.029074511752516314
6,open,4,140,19,4,19,0.04,724,572,194,391,21,356,129,384,279,374,253,252,246,440,636,635,457,355,977,836,426,254,358,813,130,534,456,922,505,370,4,32,18,15,486,18,30,18,13,584,2,8,0.05,0.4,0.95,0.91,1.0,0.99,False,True,True,True,True,False,True,True,False,False,True,True,False,True,True,False,False,0.0,True,True,-0.1387862155507817,-0.048346802406987674,-0.04783143503137262
7,HLCC/4,6,18,14,6,14,0.15,1238,905,135,80,936,284,199,67,70,247,492,392,56,255,770,625,441,376,810,510,431,285,190,59,574,466,49,340,560,492,11,45,51,6,904,8,38,18,12,350,11,22,0.1,0.07,1.12,1.2,1.13,1.03,True,False,True,False,False,False,False,True,False,True,True,False,False,True,False,True,False,0.0,False,True,0.0,0.0,0.0
8,HL/2,4,234,19,6,4,0.04,1956,767,263,99,137,197,390,526,46,380,464,291,26,687,740,606,379,316,775,729,414,385,688,918,76,900,339,953,468,970,20,29,26,15,591,5,40,92,5,119,12,13,0.29,0.03,1.0,1.09,1.18,1.14,False,True,True,False,False,False,True,False,False,False,True,False,False,True,True,False,False,0.0,False,True,0.0,0.0,0.0
9,open,4,366,14,6,18,0.04,779,838,117,177,858,130,152,464,61,21,595,159,258,564,785,697,321,308,896,759,443,409,85,340,79,938,83,892,979,263,14,59,5,18,569,3,9,38,2,43,25,13,0.14,0.18,1.17,1.12,1.03,1.01,False,False,True,True,False,True,True,True,True,False,False,True,True,True,True,True,False,0.0,False,True,0.0,0.0,0.0
