,MACD_apply_to,MACD_fast,MACD_slow,MACD_signal,MACD_column_div,corr_low,corr_high,Divergence_diff_extereme,Divergence_num_exteremes_min,Divergence_num_exteremes_max,frequency,score
100,HLCC/4,5.0,583.0,31.0,macd,0.8465016064216226,0.844334633274202,6.0,6.0,6.0,4H,0.2778142691868862
101,close,98.0,253.0,8.0,macd,0.6282972740904664,0.6387915179466863,6.0,14.0,2.0,4H,0.2341844737033054
102,high,31.0,398.0,39.0,macd,0.5727807252772801,0.5638357270427712,3.0,407.0,5.0,4H,0.2131837416202883
103,HLC/3,265.0,593.0,11.0,macds,0.9213602969937204,0.9257298834537054,2.0,327.0,5.0,4H,0.2043170419720496
104,close,300.0,658.0,8.0,macdh,0.3610028575015439,0.361615438629272,1.0,338.0,6.0,4H,0.2007781419907555
105,HLC/3,97.0,172.0,15.0,macd,0.956684150468756,0.9546700533680472,6.0,459.0,25.0,4H,0.1940456695530664
106,high,73.0,133.0,30.0,macds,0.9491943372834082,0.950218206797496,3.0,302.0,24.0,4H,0.1932366460894657
107,HLC/3,252.0,527.0,25.0,macds,0.9488561453731504,0.947043224485166,6.0,149.0,9.0,4H,0.1929982573683029
108,HLC/3,247.0,583.0,15.0,macds,0.9381326458016996,0.9344337837510766,4.0,63.0,18.0,4H,0.1914113072278677
109,open,5.0,147.0,30.0,macd,0.2804069897712686,0.2576183272131086,3.0,187.0,3.0,4H,0.1906977671747315
110,HLCC/4,56.0,111.0,33.0,macds,0.9243465235936024,0.9310228377470072,5.0,138.0,39.0,4H,0.1902370244819991
111,open,111.0,696.0,7.0,macds,0.7348664026659391,0.7265808270767866,4.0,462.0,3.0,4H,0.1857339053896604
112,OHLC/4,21.0,179.0,43.0,macd,0.2862928409394886,0.2859820977642529,1.0,365.0,2.0,4H,0.1823029452700014
113,HLCC/4,32.0,277.0,3.0,macd,0.3799497383946578,0.378115449188497,5.0,170.0,3.0,4H,0.182053886270751
114,OHLC/4,213.0,344.0,27.0,macd,0.99503082379985,0.9923068968592854,4.0,420.0,4.0,4H,0.1809441714437041
115,HLCC/4,105.0,558.0,18.0,macd,0.9842108105683322,0.9850802635360012,5.0,372.0,19.0,4H,0.1798471940602052
116,HLCC/4,55.0,125.0,28.0,macds,0.6893827118671656,0.6973732237893988,2.0,81.0,28.0,4H,0.1793503798468332
117,low,79.0,416.0,17.0,macds,0.9706189123016442,0.976293572697756,2.0,367.0,24.0,4H,0.1784816107110269
118,HLC/3,20.0,91.0,21.0,macds,0.619443022482535,0.6054418829839056,5.0,39.0,34.0,4H,0.1738070095587142
119,HL/2,32.0,176.0,15.0,macd,0.8057097526223322,0.7962440887238234,5.0,102.0,33.0,4H,0.1724930532470598
120,close,280.0,337.0,8.0,macdh,0.2430176281116324,0.237558426114223,2.0,153.0,3.0,4H,0.1719083464978415
121,OHLC/4,238.0,257.0,30.0,macds,0.8659142260314888,0.868165262438974,5.0,247.0,48.0,4H,0.1652251582699345
122,HL/2,14.0,470.0,15.0,macd,0.3798135055353954,0.4168064107810831,6.0,187.0,5.0,4H,0.1642684937678344
123,HL/2,198.0,303.0,25.0,macd,0.978310066727142,0.99306606824715,3.0,220.0,128.0,4H,0.1572189478490772
124,HLC/3,90.0,140.0,25.0,macds,0.9754036811569052,0.9773697417840952,3.0,415.0,52.0,4H,0.1562311958727232
125,high,140.0,225.0,19.0,macds,0.9771153245833284,0.9679740041187946,1.0,88.0,96.0,4H,0.1558199892300777
126,close,79.0,177.0,2.0,macds,0.976953920430795,0.9669079482063312,3.0,324.0,81.0,4H,0.1557541883011332
127,HL/2,63.0,122.0,31.0,macds,0.9665850075257,0.9670051321753428,2.0,47.0,101.0,4H,0.1552063938229844
128,HL/2,72.0,128.0,18.0,macds,0.962090240648146,0.9613777609543366,1.0,258.0,93.0,4H,0.1546642562164366
129,high,125.0,135.0,48.0,macd,0.9595602880208922,0.9493761471041482,5.0,40.0,76.0,4H,0.1538828393846092
130,high,136.0,149.0,6.0,macd,0.9581329308363696,0.9491758833755608,4.0,160.0,50.0,4H,0.1537956851438327
131,HL/2,41.0,139.0,22.0,macd,0.9623878979205952,0.938614673766472,5.0,385.0,93.0,4H,0.1534496237676979
132,OHLC/4,117.0,108.0,4.0,macds,0.9547147357564628,0.9443503617541628,6.0,349.0,43.0,4H,0.153351815802442
133,low,145.0,251.0,32.0,macd,0.9694244334712988,0.929921122809298,2.0,416.0,96.0,4H,0.1533463189099322
134,HLC/3,135.0,146.0,36.0,macd,0.9462244553998644,0.9498348374952243,6.0,84.0,32.0,4H,0.1531912940029659
135,close,46.0,92.0,35.0,macd,0.9592281901758294,0.9343750768008628,4.0,61.0,120.0,4H,0.1530503722312436
136,OHLC/4,5.0,71.0,47.0,macd,0.7683306379188504,0.7546293172745964,5.0,173.0,101.0,4H,0.1515226969651452
137,HLCC/4,23.0,113.0,39.0,macds,0.93171775430449,0.932965101045627,5.0,27.0,79.0,4H,0.1514967282117957
138,HLC/3,37.0,129.0,33.0,macds,0.932200326374831,0.9279080809697732,3.0,322.0,85.0,4H,0.1512486126223448
139,HL/2,156.0,311.0,10.0,macd,0.9353417604117332,0.922864887928557,2.0,335.0,30.0,4H,0.1511435016611666
140,OHLC/4,25.0,86.0,48.0,macds,0.9293049424769884,0.9263672547261108,4.0,427.0,88.0,4H,0.1510081815584089
141,open,21.0,119.0,8.0,macd,0.2330449469264084,0.2372329631226032,5.0,426.0,4.0,4H,0.1507771295792858
142,HL/2,68.0,125.0,8.0,macd,0.9365847336225304,0.913536092433598,3.0,183.0,50.0,4H,0.1506991925589041
143,close,59.0,123.0,6.0,macd,0.9376424960724422,0.9051376311555566,6.0,315.0,99.0,4H,0.1502924963951905
144,HL/2,56.0,81.0,22.0,macds,0.9202238057626184,0.9204137868498824,2.0,96.0,89.0,4H,0.1501915583946373
145,HL/2,177.0,286.0,45.0,macd,0.9095277632870228,0.9298209856002484,3.0,150.0,92.0,4H,0.1501153483890916
146,HL/2,110.0,238.0,12.0,macds,0.8934601640875242,0.9261060242005952,2.0,141.0,33.0,4H,0.1490271163863565
147,open,53.0,51.0,47.0,macds,0.9110850113306748,0.9025904475143706,3.0,49.0,144.0,4H,0.1487201707467006
148,HL/2,81.0,108.0,42.0,macd,0.91723894457414,0.8921037978671219,4.0,12.0,49.0,4H,0.1484747565464467
149,open,49.0,52.0,8.0,macds,0.7370611626387932,0.7286577774657443,5.0,443.0,86.0,4H,0.1477041828612792
150,open,5.0,84.0,3.0,macdh,0.723989873691514,0.7250227966040543,6.0,339.0,139.0,4H,0.1465812659368474
151,low,18.0,68.0,31.0,macds,0.503670336982683,0.510132162668579,1.0,329.0,65.0,4H,0.1455470615992094
152,close,37.0,551.0,50.0,macdh,0.857189080083751,0.8854219156288337,6.0,25.0,89.0,4H,0.1447979109351263
153,open,184.0,393.0,26.0,macdh,0.2180228189187315,0.2044473613208777,4.0,387.0,2.0,4H,0.1447207454865119
154,OHLC/4,182.0,198.0,46.0,macd,0.8778071309188894,0.8600415553539167,5.0,153.0,91.0,4H,0.1445415953768429
155,close,138.0,283.0,8.0,macds,0.8555596120151163,0.873110431133458,3.0,448.0,56.0,4H,0.1440322729688581
156,open,83.0,220.0,36.0,macd,0.8608712485197201,0.8554875242982047,6.0,33.0,35.0,4H,0.1433520666691202
157,close,87.0,93.0,28.0,macd,0.8767753931929361,0.8347497341442801,1.0,64.0,64.0,4H,0.1430545068343914
158,close,264.0,445.0,48.0,macd,0.5641197742347352,0.5179672982907271,4.0,260.0,4.0,4H,0.1429632969153162
159,OHLC/4,125.0,457.0,19.0,macd,0.6004384489504452,0.6052498812534134,4.0,247.0,15.0,4H,0.1427242374867367
160,OHLC/4,37.0,36.0,9.0,macd,0.8334627648728404,0.8644380119172412,2.0,371.0,104.0,4H,0.1423071375859937
161,low,27.0,681.0,44.0,macdh,0.8449412268405315,0.8460327471269528,5.0,264.0,74.0,4H,0.1419355620681936
162,OHLC/4,129.0,134.0,8.0,macds,0.8478789809704803,0.8401157647531149,3.0,485.0,104.0,4H,0.1417678212359925
163,high,81.0,240.0,11.0,macds,0.839087598892698,0.8289263387102171,6.0,268.0,37.0,4H,0.1406461163138617
14,HL/2,73.0,193.0,42.0,macds,0.6668544869838305,0.39287274796779237,4.0,247.0,3.0,4H,0.13785663098213324
164,low,141.0,303.0,27.0,macd,0.756569926771363,0.5739476024568428,1.0,137.0,25.0,4H,0.1376018238320529
165,low,233.0,237.0,28.0,macd,0.4464284233180799,0.4591004985164545,3.0,215.0,13.0,4H,0.1349833750056408
166,open,142.0,136.0,20.0,macds,0.8125397410829336,0.7374346692849424,6.0,210.0,72.0,4H,0.1338266843169326
167,high,151.0,391.0,3.0,macd,0.2449734187139917,0.2328082737141804,6.0,191.0,2.0,4H,0.1337998278463356
168,HLC/3,63.0,116.0,25.0,macd,0.4749839256601915,0.5033076372822461,6.0,440.0,55.0,4H,0.133712131218068
169,open,180.0,173.0,22.0,macds,0.8369065860832867,0.6692420239963202,4.0,275.0,94.0,4H,0.1308498995649329
170,close,136.0,420.0,33.0,macd,0.4593265374782774,0.4447449928476415,6.0,495.0,13.0,4H,0.1268851706861414
171,high,68.0,211.0,44.0,macds,0.5542425133619852,0.2925050242900053,3.0,18.0,13.0,4H,0.124835509247997
172,HLCC/4,90.0,402.0,28.0,macdh,0.5472583007351746,0.564485419356159,5.0,338.0,105.0,4H,0.1228378233286098
