,RSI_apply_to,RSI_length,Divergence_num_exteremes_min,Divergence_num_exteremes_max,Divergence_diff_extereme,BestFinder_n_clusters,BestFinder_alpha,Runner_methode1__lenght_data_5M,Runner_methode1__lenght_data_1H,ExtremePoints_num_max_5M,ExtremePoints_num_min_5M,ExtremePoints_weight_5M,ExtremePoints_num_max_1H,ExtremePoints_num_min_1H,ExtremePoints_weight_1H,TrendLines_num_max_5M,TrendLines_num_min_5M,TrendLines_weight_5M,TrendLines_num_max_1H,TrendLines_num_min_1H,TrendLines_weight_1H,TrendLines_length_long_5M,TrendLines_length_mid_5M,TrendLines_length_short1_5M,TrendLines_length_short2_5M,TrendLines_length_long_1H,TrendLines_length_mid_1H,TrendLines_length_short1_1H,TrendLines_length_short2_1H,TrendLines_power_long_5M,TrendLines_power_mid_5M,TrendLines_power_short1_5M,TrendLines_power_short2_5M,TrendLines_power_long_1H,TrendLines_power_mid_1H,TrendLines_power_short1_1H,TrendLines_power_short2_1H,IchimokouFlatLines_tenkan_5M,IchimokouFlatLines_kijun_5M,IchimokouFlatLines_senkou_5M,IchimokouFlatLines_n_cluster_5M,IchimokouFlatLines_weight_5M,IchimokouFlatLines_tenkan_1H,IchimokouFlatLines_kijun_1H,IchimokouFlatLines_senkou_1H,IchimokouFlatLines_n_cluster_1H,IchimokouFlatLines_weight_1H,BestFinder_n_cluster_low,BestFinder_n_cluster_high,BestFinder_alpha_low,BestFinder_alpha_high,st_percent_min,st_percent_max,tp_percent_min,tp_percent_max,ExtremePoints_status,ExtremePoints_T_5M,ExtremePoints_T_1H,TrendLines_status,TrendLines_T_5M,TrendLines_long_T_5M,TrendLines_mid_T_5M,TrendLines_short1_T_5M,TrendLines_short2_T_5M,TrendLines_T_1H,TrendLines_long_T_1H,TrendLines_mid_T_1H,TrendLines_short1_T_1H,TrendLines_short2_T_1H,IchimokouFlatLines_T_5M,IchimokouFlatLines_T_1H,IchimokouFlatLines_status,score,islearned,isborn,corr,corr_low,corr_high
0,HL/2,15.0,219.0,18.0,5.0,5.0,0.32,1188.0,963.0,148.0,223.0,719.0,112.0,13.0,799.0,243.0,209.0,155.0,360.0,315.0,26.0,937.0,733.0,484.0,474.0,857.0,824.0,499.0,479.0,915.0,505.0,54.0,346.0,204.0,244.0,110.0,722.0,13.0,47.0,47.0,4.0,842.0,14.0,21.0,52.0,12.0,963.0,11.0,13.0,0.18,0.04,0.47,0.79,0.68,0.99,1.0,0.0,1.0,0.0,1.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,30.080002313338944,1.0,0.0,-0.1677777384702913,-0.0484681663762548,-0.0474401418612108
1,OHLC/4,15.0,218.0,18.0,5.0,9.0,0.38,1910.0,729.0,171.0,385.0,40.0,256.0,108.0,678.0,25.0,329.0,723.0,109.0,192.0,814.0,554.0,542.0,440.0,309.0,968.0,565.0,451.0,413.0,146.0,503.0,77.0,257.0,27.0,272.0,836.0,726.0,11.0,54.0,66.0,20.0,2.0,12.0,51.0,87.0,3.0,164.0,17.0,12.0,0.18,0.34,0.2,0.38,0.44,0.65,False,True,True,True,False,False,True,False,True,False,True,True,False,True,True,True,True,29.96486957136465,True,False,-0.1096445171903156,-0.025812646542478,-0.0251306962166626
2,HL/2,22.0,209.0,15.0,5.0,13.0,0.37,2918.0,244.0,158.0,2.0,312.0,156.0,88.0,638.0,81.0,399.0,213.0,82.0,4.0,346.0,862.0,608.0,482.0,471.0,948.0,870.0,341.0,268.0,300.0,529.0,185.0,668.0,498.0,85.0,559.0,501.0,2.0,3.0,55.0,13.0,562.0,11.0,37.0,24.0,10.0,953.0,6.0,18.0,0.2,0.4,0.82,0.9,0.81,0.9,False,True,False,False,False,True,False,True,False,False,False,False,True,False,False,False,False,5.409262757370684,True,False,-0.1058991800679875,-0.024257535348346,-0.02342528231942
3,open,20.0,345.0,19.0,3.0,11.0,0.26,2403.0,637.0,204.0,227.0,5.0,64.0,175.0,672.0,149.0,309.0,78.0,351.0,267.0,819.0,736.0,674.0,371.0,365.0,833.0,503.0,479.0,409.0,791.0,228.0,844.0,804.0,330.0,559.0,728.0,408.0,14.0,37.0,104.0,2.0,642.0,6.0,34.0,54.0,7.0,998.0,3.0,13.0,0.29,0.08,0.57,0.66,0.79,0.87,False,True,False,True,True,False,True,True,False,False,True,True,True,True,False,False,True,30.080002313338944,True,False,-0.1677777384702913,-0.0484681663762548,-0.0474401418612108
4,HLCC/4,19.0,213.0,21.0,5.0,14.0,0.35,2773.0,398.0,350.0,63.0,395.0,53.0,58.0,963.0,4.0,285.0,862.0,51.0,218.0,152.0,837.0,787.0,309.0,269.0,988.0,511.0,384.0,375.0,116.0,5.0,151.0,85.0,819.0,982.0,888.0,661.0,22.0,43.0,60.0,5.0,39.0,12.0,49.0,37.0,8.0,174.0,3.0,5.0,0.37,0.17,0.2,0.38,0.44,0.65,False,True,True,False,True,False,False,False,False,False,False,True,True,False,False,False,False,30.79342746026789,True,False,-0.1430095678110734,-0.0418462738880777,-0.0405887187358491
5,high,8.0,225.0,19.0,5.0,3.0,0.16,1411.0,971.0,318.0,80.0,644.0,210.0,250.0,918.0,260.0,379.0,677.0,16.0,124.0,388.0,897.0,662.0,378.0,268.0,669.0,616.0,453.0,426.0,834.0,380.0,247.0,972.0,16.0,180.0,812.0,699.0,4.0,22.0,3.0,13.0,126.0,18.0,52.0,39.0,16.0,699.0,18.0,4.0,0.34,0.34,0.44,0.81,0.6,0.93,False,False,False,False,False,False,False,False,False,True,False,False,False,True,True,True,False,11.681979499973329,True,False,-0.0934173126837078,-0.0194760801149072,-0.0181518650576732
6,open,17.0,81.0,20.0,5.0,11.0,0.18,2037.0,317.0,221.0,157.0,101.0,135.0,388.0,978.0,61.0,274.0,678.0,327.0,288.0,894.0,671.0,641.0,495.0,486.0,928.0,821.0,313.0,309.0,836.0,99.0,912.0,740.0,514.0,872.0,526.0,735.0,3.0,56.0,86.0,14.0,54.0,15.0,25.0,44.0,17.0,952.0,4.0,1.0,0.01,0.14,0.24,0.32,0.41,0.51,False,False,True,True,True,False,False,False,True,True,True,True,False,False,True,True,False,43.02310327742956,True,False,-0.095958306035854,-0.0218497530118973,-0.0213963346489884
7,close,8.0,343.0,14.0,5.0,7.0,0.37,2190.0,447.0,37.0,32.0,888.0,129.0,181.0,917.0,81.0,176.0,231.0,34.0,27.0,453.0,984.0,696.0,445.0,391.0,895.0,562.0,393.0,274.0,900.0,79.0,861.0,471.0,111.0,224.0,318.0,291.0,7.0,34.0,17.0,20.0,876.0,12.0,36.0,38.0,15.0,801.0,21.0,15.0,0.29,0.18,0.46,0.8,0.65,0.94,False,True,True,True,False,False,True,True,False,False,True,True,True,False,False,True,True,11.526230649248756,True,False,-0.083577540129794,-0.0144949480679155,-0.0136808879173246
8,low,7.0,392.0,16.0,5.0,19.0,0.02,1166.0,659.0,391.0,195.0,496.0,250.0,220.0,662.0,251.0,329.0,633.0,2.0,265.0,868.0,926.0,851.0,471.0,444.0,920.0,508.0,453.0,277.0,870.0,989.0,860.0,505.0,673.0,953.0,982.0,287.0,30.0,46.0,12.0,2.0,761.0,12.0,19.0,94.0,13.0,239.0,9.0,21.0,0.31,0.33,0.2,0.38,0.44,0.65,True,False,False,True,False,False,True,True,True,True,False,True,True,False,True,False,False,26.557814682899146,True,False,-0.19681806884854455,-0.05293637061336773,-0.05302869883491936
9,HLC/3,15.0,310.0,21.0,4.0,11.0,0.39,1174.0,704.0,362.0,11.0,756.0,200.0,219.0,119.0,241.0,374.0,913.0,26.0,188.0,98.0,849.0,655.0,479.0,283.0,862.0,674.0,443.0,282.0,910.0,832.0,177.0,329.0,371.0,710.0,915.0,541.0,10.0,51.0,22.0,9.0,991.0,16.0,30.0,53.0,1.0,33.0,12.0,4.0,0.12,0.16,0.13,0.13,0.3,0.31,False,True,False,False,True,True,False,False,True,False,False,False,True,False,False,False,False,51.35897815513215,True,False,-0.13536576116714868,-0.0397917701565044,-0.03900824886217788
