,StochAstic_k,StochAstic_d,StochAstic_smooth_k,StochAstic_mamod,StochAstic_column_div,Divergence_num_exteremes_min,Divergence_num_exteremes_max,Divergence_diff_extereme,BestFinder_n_clusters,BestFinder_alpha,Runner_methode1__lenght_data_5M,Runner_methode1__lenght_data_1H,ExtremePoints_num_max_5M,ExtremePoints_num_min_5M,ExtremePoints_weight_5M,ExtremePoints_num_max_1H,ExtremePoints_num_min_1H,ExtremePoints_weight_1H,TrendLines_num_max_5M,TrendLines_num_min_5M,TrendLines_weight_5M,TrendLines_num_max_1H,TrendLines_num_min_1H,TrendLines_weight_1H,TrendLines_length_long_5M,TrendLines_length_mid_5M,TrendLines_length_short1_5M,TrendLines_length_short2_5M,TrendLines_length_long_1H,TrendLines_length_mid_1H,TrendLines_length_short1_1H,TrendLines_length_short2_1H,TrendLines_power_long_5M,TrendLines_power_mid_5M,TrendLines_power_short1_5M,TrendLines_power_short2_5M,TrendLines_power_long_1H,TrendLines_power_mid_1H,TrendLines_power_short1_1H,TrendLines_power_short2_1H,IchimokouFlatLines_tenkan_5M,IchimokouFlatLines_kijun_5M,IchimokouFlatLines_senkou_5M,IchimokouFlatLines_n_cluster_5M,IchimokouFlatLines_weight_5M,IchimokouFlatLines_tenkan_1H,IchimokouFlatLines_kijun_1H,IchimokouFlatLines_senkou_1H,IchimokouFlatLines_n_cluster_1H,IchimokouFlatLines_weight_1H,BestFinder_n_cluster_low,BestFinder_n_cluster_high,BestFinder_alpha_low,BestFinder_alpha_high,st_percent_min,st_percent_max,tp_percent_min,tp_percent_max,ExtremePoints_status,ExtremePoints_T_5M,ExtremePoints_T_1H,TrendLines_status,TrendLines_T_5M,TrendLines_long_T_5M,TrendLines_mid_T_5M,TrendLines_short1_T_5M,TrendLines_short2_T_5M,TrendLines_T_1H,TrendLines_long_T_1H,TrendLines_mid_T_1H,TrendLines_short1_T_1H,TrendLines_short2_T_1H,IchimokouFlatLines_T_5M,IchimokouFlatLines_T_1H,IchimokouFlatLines_status,score,islearned,isborn,corr,corr_low,corr_high
0,333,80,25,ema,StochAstic_k,126,60,5,2,0.13,2251,752,353,64,399,279,39,971,240,252,193,355,27,516,899,562,463,352,909,713,458,376,32,387,591,557,830,907,639,661,3,30,61,20,94,2,32,95,1,784,6,22,0.2,0.12,0.5,0.65,0.73,0.84,True,True,True,False,False,False,False,True,False,False,False,True,False,False,True,True,True,32.27646758153404,True,False,-0.1214157807669844,-0.0530414927038857,-0.0539057806851062
1,359,81,18,wma,StochAstic_k,197,81,5,7,0.22,718,518,276,76,606,84,399,637,13,134,28,92,294,537,962,607,370,330,797,599,316,289,70,223,224,705,835,859,992,951,3,15,50,16,689,8,49,104,5,578,5,17,0.13,0.35,0.25,0.32,0.55,0.62,False,False,True,False,False,True,True,True,False,False,False,False,True,False,True,False,True,40.774218374449205,True,False,-0.1229537278707149,-0.0607617464005715,-0.0616755708788653
2,266,91,16,ema,StochAstic_k,321,55,5,8,0.36,1287,233,139,119,717,19,9,538,124,220,622,182,157,685,931,821,445,306,719,704,316,256,320,569,82,541,754,417,267,311,27,28,81,12,369,8,15,4,13,887,9,2,0.14,0.25,0.09,0.16,0.4,0.51,False,True,False,False,True,True,False,True,False,False,False,False,False,True,False,True,True,26.47942169440052,True,False,-0.0967153899518325,-0.0356398868805911,-0.0356508961459788
3,287,94,21,wma,StochAstic_k,15,65,3,16,0.39,937,685,174,167,610,327,350,511,46,44,506,11,254,895,861,717,405,396,896,537,379,364,111,470,306,571,850,620,848,646,2,20,86,1,8,9,12,56,3,595,16,21,0.1,0.1,0.53,0.65,0.81,0.91,False,False,False,True,True,True,True,True,False,False,True,False,False,False,False,True,True,30.885701780133743,True,False,-0.1130419083357169,-0.0470264884566852,-0.0484492025505102
4,304,117,17,ema,StochAstic_k,54,70,2,20,0.34,667,347,176,306,152,284,371,900,221,348,322,371,22,16,836,763,470,375,733,666,383,275,42,326,733,211,217,960,146,274,25,28,73,11,603,11,35,65,5,176,3,7,0.36,0.39,0.57,0.7,0.84,0.94,True,True,False,False,False,True,False,True,True,True,True,False,True,True,True,True,False,28.06096689645084,True,False,-0.1152798597216623,-0.0512628816287267,-0.0524303125793138
5,279,88,25,wma,StochAstic_k,122,58,5,10,0.36,2737,581,182,381,851,366,340,957,290,292,718,252,270,190,709,688,462,379,778,562,444,319,928,432,822,194,81,864,992,975,30,54,7,8,428,18,21,86,6,956,13,6,0.1,0.33,0.39,0.85,0.63,0.97,False,True,False,False,False,True,True,False,False,False,False,True,True,False,False,True,False,29.712298800100424,True,False,-0.1023796048868195,-0.0410977688558307,-0.0414458978954132
6,337,88,22,wma,StochAstic_k,14,65,4,4,0.27,2073,582,175,75,945,29,296,173,115,180,822,184,59,660,929,867,483,309,886,762,325,318,311,459,330,213,48,112,111,983,17,39,91,16,93,2,4,32,11,720,5,16,0.37,0.31,0.15,0.32,0.4,0.63,False,False,False,False,True,True,True,True,False,False,False,True,False,True,False,False,False,31.94566298568469,True,False,-0.1859447937007406,-0.1048861469385764,-0.1049593397798667
7,328,97,21,ema,StochAstic_k,370,67,5,5,0.38,854,598,264,378,383,26,105,762,334,260,147,253,365,823,765,567,492,285,858,609,489,388,832,838,96,173,45,503,747,439,3,38,30,1,451,9,27,81,19,866,11,21,0.12,0.04,0.45,0.75,0.75,0.95,True,True,True,False,True,False,False,False,True,False,False,False,True,False,True,True,False,28.447029361695115,True,False,-0.1655648304700024,-0.0869177188506067,-0.0882011483998491
8,353,103,17,wma,StochAstic_k,150,71,6,13,0.14,2713,493,311,31,736,225,159,728,390,191,53,217,172,433,750,570,449,280,975,671,492,252,889,259,860,691,588,788,178,685,8,12,81,20,164,3,10,7,14,677,10,4,0.11,0.08,0.48,0.68,0.79,0.92,False,False,False,False,False,False,False,True,True,False,True,True,True,True,False,False,False,36.02164607443244,True,False,-0.1574098366841621,-0.0842032193693702,-0.0842178633887654
9,338,90,22,ema,StochAstic_k,209,75,6,11,0.28,2056,776,218,252,271,47,271,819,352,262,48,398,41,374,896,828,295,263,997,957,361,262,17,746,977,903,665,394,227,134,19,32,21,7,912,14,36,86,17,508,4,18,0.01,0.22,0.35,0.78,0.7,1.01,False,True,False,True,False,True,False,True,False,False,False,True,False,False,True,False,True,41.4289309281185,True,False,-0.1043308372881433,-0.0455880077924596,-0.0461310887471079
10,256,116,24,sma,StochAstic_d,231,77,5,3,0.15,2275,802,183,63,182,120,107,832,332,212,540,111,41,307,934,533,388,287,979,565,432,332,95,541,714,478,15,169,932,620,15,41,69,10,611,15,43,62,17,969,12,15,0.15,0.1,0.58,0.81,0.66,0.86,False,True,False,True,False,False,False,True,True,False,False,True,True,True,True,True,False,6.089088890450936,True,False,-0.131578708421927,-0.0825968006994148,-0.0835756362583662
