,RSI_apply_to,RSI_length,Divergence_num_exteremes_min,Divergence_num_exteremes_max,Divergence_diff_extereme,BestFinder_n_clusters,BestFinder_alpha,Runner_methode1__lenght_data_5M,Runner_methode1__lenght_data_1H,ExtremePoints_num_max_5M,ExtremePoints_num_min_5M,ExtremePoints_weight_5M,ExtremePoints_num_max_1H,ExtremePoints_num_min_1H,ExtremePoints_weight_1H,TrendLines_num_max_5M,TrendLines_num_min_5M,TrendLines_weight_5M,TrendLines_num_max_1H,TrendLines_num_min_1H,TrendLines_weight_1H,TrendLines_length_long_5M,TrendLines_length_mid_5M,TrendLines_length_short1_5M,TrendLines_length_short2_5M,TrendLines_length_long_1H,TrendLines_length_mid_1H,TrendLines_length_short1_1H,TrendLines_length_short2_1H,TrendLines_power_long_5M,TrendLines_power_mid_5M,TrendLines_power_short1_5M,TrendLines_power_short2_5M,TrendLines_power_long_1H,TrendLines_power_mid_1H,TrendLines_power_short1_1H,TrendLines_power_short2_1H,IchimokouFlatLines_tenkan_5M,IchimokouFlatLines_kijun_5M,IchimokouFlatLines_senkou_5M,IchimokouFlatLines_n_cluster_5M,IchimokouFlatLines_weight_5M,IchimokouFlatLines_tenkan_1H,IchimokouFlatLines_kijun_1H,IchimokouFlatLines_senkou_1H,IchimokouFlatLines_n_cluster_1H,IchimokouFlatLines_weight_1H,BestFinder_n_cluster_low,BestFinder_n_cluster_high,BestFinder_alpha_low,BestFinder_alpha_high,st_percent_min,st_percent_max,tp_percent_min,tp_percent_max,ExtremePoints_status,ExtremePoints_T_5M,ExtremePoints_T_1H,TrendLines_status,TrendLines_T_5M,TrendLines_long_T_5M,TrendLines_mid_T_5M,TrendLines_short1_T_5M,TrendLines_short2_T_5M,TrendLines_T_1H,TrendLines_long_T_1H,TrendLines_mid_T_1H,TrendLines_short1_T_1H,TrendLines_short2_T_1H,IchimokouFlatLines_T_5M,IchimokouFlatLines_T_1H,IchimokouFlatLines_status,score,islearned,isborn,corr,corr_low,corr_high
0,HL/2,36.0,293.0,66.0,3.0,17.0,0.03,2064.0,1000.0,80.0,123.0,547.0,168.0,50.0,460.0,172.0,83.0,983.0,352.0,178.0,974.0,852.0,830.0,425.0,301.0,691.0,544.0,400.0,352.0,243.0,849.0,676.0,503.0,9.0,204.0,96.0,887.0,11.0,12.0,49.0,12.0,448.0,3.0,35.0,74.0,16.0,798.0,9.0,11.0,0.37,0.02,0.28,0.56,0.88,1.06,0.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,30.305332196248457,1.0,0.0,-0.09552671368562023,-0.07860323026277424,-0.0866411380922985
1,high,32.0,300.0,30.0,5.0,5.0,0.29,2745.0,249.0,27.0,5.0,41.0,337.0,141.0,864.0,367.0,381.0,227.0,241.0,130.0,211.0,950.0,701.0,497.0,478.0,665.0,588.0,347.0,254.0,977.0,674.0,117.0,719.0,733.0,591.0,723.0,25.0,4.0,55.0,98.0,12.0,400.0,7.0,32.0,32.0,15.0,977.0,22.0,25.0,0.23,0.14,0.93,0.88,0.92,0.93,True,False,True,False,True,False,True,True,True,True,True,True,False,True,True,True,True,20.35730573249168,True,False,-0.19216265454577489,-0.19637635259279554,-0.2030008127648052
2,HLCC/4,30.0,290.0,313.0,5.0,7.0,0.19,1798.0,289.0,347.0,104.0,244.0,113.0,302.0,490.0,144.0,201.0,318.0,370.0,181.0,572.0,526.0,501.0,339.0,302.0,654.0,605.0,432.0,313.0,177.0,109.0,926.0,256.0,315.0,386.0,725.0,280.0,19.0,41.0,104.0,7.0,362.0,13.0,52.0,54.0,12.0,621.0,9.0,4.0,0.27,0.36,0.24,0.5,0.72,0.88,True,True,True,False,False,True,False,False,True,False,False,False,True,False,True,False,True,10.93566468680043,True,False,-0.1742453416674129,-0.16762076548670968,-0.17152913060456682
3,HLCC/4,36.0,245.0,399.0,6.0,18.0,0.38,1272.0,892.0,94.0,51.0,739.0,323.0,119.0,789.0,327.0,289.0,849.0,383.0,222.0,303.0,507.0,506.0,362.0,361.0,581.0,571.0,398.0,360.0,676.0,182.0,705.0,144.0,361.0,508.0,15.0,712.0,16.0,31.0,28.0,11.0,202.0,18.0,33.0,56.0,17.0,472.0,19.0,14.0,0.17,0.08,0.14,0.21,0.45,0.58,False,True,True,False,True,True,True,True,True,True,False,False,False,False,False,True,False,45.451906863621396,True,False,-0.11220724678365258,-0.07245236214582218,-0.07275709919479713
4,OHLC/4,24.0,220.0,209.0,2.0,11.0,0.4,2522.0,637.0,199.0,155.0,500.0,139.0,295.0,2.0,209.0,89.0,8.0,237.0,327.0,104.0,929.0,642.0,355.0,284.0,615.0,521.0,435.0,335.0,267.0,109.0,304.0,217.0,423.0,331.0,500.0,35.0,26.0,39.0,21.0,10.0,642.0,18.0,23.0,97.0,2.0,433.0,7.0,8.0,0.35,0.05,0.05,0.13,0.27,0.42,False,False,True,False,True,True,False,True,True,True,True,False,False,False,False,True,True,20.025799984236613,True,False,-0.04536779365713314,-0.025992051359162036,-0.03389194986435043
5,close,24.0,265.0,114.0,6.0,16.0,0.21,2419.0,548.0,248.0,32.0,998.0,206.0,5.0,664.0,368.0,71.0,325.0,11.0,47.0,627.0,931.0,714.0,494.0,438.0,965.0,803.0,437.0,253.0,640.0,800.0,257.0,616.0,841.0,228.0,198.0,597.0,7.0,42.0,82.0,14.0,355.0,2.0,24.0,57.0,8.0,216.0,19.0,23.0,0.3,0.27,0.42,0.83,0.96,0.84,False,False,True,False,False,False,False,True,True,False,False,False,True,False,False,True,True,10.092167719861163,True,False,-0.09581599746294531,-0.06002816425467759,-0.06157182918412113
6,high,29.0,286.0,53.0,3.0,2.0,0.02,599.0,298.0,190.0,305.0,23.0,89.0,360.0,857.0,125.0,368.0,677.0,265.0,159.0,511.0,701.0,686.0,400.0,325.0,955.0,544.0,478.0,291.0,873.0,49.0,174.0,359.0,562.0,986.0,472.0,352.0,23.0,49.0,20.0,5.0,34.0,8.0,25.0,28.0,16.0,152.0,18.0,17.0,0.25,0.13,0.23,0.35,0.47,0.64,False,False,True,False,False,True,True,True,False,True,True,False,True,True,True,False,False,18.92107552170956,True,False,-0.1239919912211393,-0.11752168733163612,-0.12288219320701574
7,HLCC/4,30.0,271.0,301.0,5.0,8.0,0.09,1435.0,429.0,210.0,20.0,291.0,323.0,108.0,25.0,91.0,2.0,221.0,350.0,5.0,151.0,785.0,605.0,480.0,424.0,647.0,617.0,430.0,349.0,157.0,625.0,798.0,35.0,37.0,632.0,381.0,908.0,15.0,33.0,5.0,14.0,28.0,15.0,16.0,92.0,7.0,742.0,8.0,4.0,0.4,0.37,0.14,0.15,0.36,0.37,True,False,True,True,True,True,False,True,False,False,True,True,True,True,True,True,False,46.87589029997673,True,False,-0.1317654262392665,-0.10481286142928156,-0.10913394148939447
8,high,37.0,263.0,62.0,5.0,5.0,0.06,711.0,282.0,104.0,72.0,402.0,293.0,142.0,312.0,72.0,357.0,620.0,120.0,125.0,617.0,998.0,824.0,320.0,265.0,875.0,648.0,331.0,326.0,21.0,757.0,42.0,236.0,1000.0,111.0,517.0,39.0,9.0,34.0,102.0,15.0,164.0,2.0,45.0,32.0,4.0,298.0,19.0,16.0,0.33,0.03,0.06,0.84,0.25,0.28,False,False,True,True,False,True,False,True,False,False,False,True,False,True,False,True,True,10.986759809355805,True,False,-0.18336841859413675,-0.17519251459544322,-0.17955685959016215
9,close,30.0,260.0,311.0,5.0,9.0,0.21,1927.0,425.0,334.0,59.0,967.0,25.0,228.0,92.0,47.0,194.0,371.0,109.0,393.0,955.0,959.0,788.0,458.0,457.0,592.0,530.0,484.0,269.0,916.0,334.0,73.0,167.0,1000.0,260.0,166.0,691.0,3.0,16.0,77.0,14.0,872.0,12.0,31.0,49.0,15.0,530.0,23.0,17.0,0.01,0.09,0.04,0.86,0.18,0.2,False,True,True,True,False,False,True,True,True,False,True,True,False,False,False,False,False,6.527949707722507,True,False,-0.10098603211149128,-0.06498201103833624,-0.0726999787999864
