,MACD_apply_to,MACD_fast,MACD_slow,MACD_signal,MACD_column_div,corr_low,corr_high,Divergence_diff_extereme,Divergence_num_exteremes_min,Divergence_num_exteremes_max,frequency,score
100,close,112.0,522.0,10.0,macd,0.6913095441019365,0.7107096811136,2.0,2.0,373.0,4H,0.260548810587454
101,HLC/3,7.0,408.0,2.0,macd,0.7455724637661453,0.739504323374139,6.0,7.0,229.0,4H,0.2603315785894673
102,low,16.0,397.0,5.0,macd,0.9264011158264248,0.933773791684348,4.0,32.0,353.0,4H,0.2052801312098068
103,HL/2,17.0,591.0,32.0,macd,0.897826965862016,0.9116050988425312,3.0,22.0,84.0,4H,0.2015269491267138
104,low,38.0,420.0,7.0,macd,0.8808393510276414,0.899584859428393,1.0,31.0,86.0,4H,0.199363790313222
105,OHLC/4,96.0,614.0,2.0,macd,0.6351675626696354,0.6702282081905164,5.0,5.0,188.0,4H,0.1971489671245595
106,HLCC/4,24.0,288.0,5.0,macd,0.7907553316430956,0.7930879067705225,5.0,26.0,310.0,4H,0.1959663788027308
107,close,80.0,356.0,17.0,macd,0.6383602360924087,0.6389379526087016,4.0,5.0,292.0,4H,0.1943564714618743
108,OHLC/4,8.0,365.0,2.0,macds,0.4632426390772827,0.4323173093605704,3.0,7.0,243.0,4H,0.1931840281367672
109,high,35.0,418.0,7.0,macds,0.941440813170697,0.9405775513847082,4.0,33.0,218.0,4H,0.1920551125659985
110,close,31.0,381.0,18.0,macd,0.917654978935152,0.924810192851512,5.0,35.0,107.0,4H,0.1893537919743762
111,HLCC/4,14.0,691.0,21.0,macd,0.9057476944916716,0.9188859933249622,2.0,37.0,39.0,4H,0.1881277892276151
112,HL/2,12.0,618.0,24.0,macd,0.9021912502578944,0.91164358296748,3.0,34.0,34.0,4H,0.1873863243284008
113,open,35.0,386.0,22.0,macd,0.8929756538599953,0.9086852043946384,1.0,17.0,333.0,4H,0.1865438865003671
114,HLCC/4,25.0,516.0,5.0,macd,0.9016048051403768,0.874505234555582,2.0,38.0,323.0,4H,0.1847663470759623
115,HLC/3,25.0,521.0,14.0,macd,0.9015059533833426,0.8743594917040246,3.0,31.0,18.0,4H,0.1847493298210309
116,HLC/3,21.0,486.0,36.0,macd,0.8919275037723903,0.8715474860919474,1.0,20.0,154.0,4H,0.1838951177389249
117,high,22.0,444.0,34.0,macd,0.8892784054033069,0.86899063947635,1.0,39.0,229.0,4H,0.1835330480360363
118,high,87.0,404.0,42.0,macd,0.6396770020891644,0.6011093355062912,4.0,4.0,206.0,4H,0.183236250980627
119,OHLC/4,45.0,289.0,30.0,macds,0.7499021706940386,0.7871714891413442,2.0,25.0,86.0,4H,0.1807276724788068
120,open,95.0,673.0,2.0,macds,0.6546756557177219,0.6394973874014991,1.0,7.0,251.0,4H,0.1803008056725238
41,close,184.0,372.0,6.0,macds,0.9856890860368782,0.9859073776563929,1.0,26.0,259.0,4H,0.1799875387669172
121,HLC/3,69.0,479.0,30.0,macd,0.6133292150442573,0.582440830443058,6.0,8.0,269.0,4H,0.178794909217726
122,HLC/3,112.0,441.0,10.0,macds,0.9688679908792496,0.9720855805661665,5.0,26.0,255.0,4H,0.178117580231875
123,OHLC/4,139.0,425.0,24.0,macds,0.9599881909047252,0.9503634033266846,2.0,10.0,454.0,4H,0.1762391062455995
124,OHLC/4,139.0,418.0,35.0,macds,0.949567670570432,0.9455297434764524,1.0,14.0,238.0,4H,0.1753008903151178
125,low,5.0,667.0,35.0,macd,0.739520891502934,0.7221814883852996,5.0,9.0,378.0,4H,0.1747963124691861
126,HLCC/4,29.0,510.0,29.0,macd,0.7955673448584669,0.819177037837689,6.0,39.0,396.0,4H,0.1733996574783743
127,HLC/3,54.0,338.0,41.0,macd,0.7949949371017324,0.8165806866244588,6.0,21.0,220.0,4H,0.173174716212946
128,close,30.0,464.0,44.0,macd,0.7933154454457579,0.8158541867954654,3.0,26.0,164.0,4H,0.1730013456290074
