,RSI_apply_to,RSI_length,Divergence_num_exteremes_min,Divergence_num_exteremes_max,Divergence_diff_extereme,BestFinder_n_clusters,BestFinder_alpha,Runner_methode1__lenght_data_5M,Runner_methode1__lenght_data_1H,ExtremePoints_num_max_5M,ExtremePoints_num_min_5M,ExtremePoints_weight_5M,ExtremePoints_num_max_1H,ExtremePoints_num_min_1H,ExtremePoints_weight_1H,TrendLines_num_max_5M,TrendLines_num_min_5M,TrendLines_weight_5M,TrendLines_num_max_1H,TrendLines_num_min_1H,TrendLines_weight_1H,TrendLines_length_long_5M,TrendLines_length_mid_5M,TrendLines_length_short1_5M,TrendLines_length_short2_5M,TrendLines_length_long_1H,TrendLines_length_mid_1H,TrendLines_length_short1_1H,TrendLines_length_short2_1H,TrendLines_power_long_5M,TrendLines_power_mid_5M,TrendLines_power_short1_5M,TrendLines_power_short2_5M,TrendLines_power_long_1H,TrendLines_power_mid_1H,TrendLines_power_short1_1H,TrendLines_power_short2_1H,IchimokouFlatLines_tenkan_5M,IchimokouFlatLines_kijun_5M,IchimokouFlatLines_senkou_5M,IchimokouFlatLines_n_cluster_5M,IchimokouFlatLines_weight_5M,IchimokouFlatLines_tenkan_1H,IchimokouFlatLines_kijun_1H,IchimokouFlatLines_senkou_1H,IchimokouFlatLines_n_cluster_1H,IchimokouFlatLines_weight_1H,BestFinder_n_cluster_low,BestFinder_n_cluster_high,BestFinder_alpha_low,BestFinder_alpha_high,st_percent_min,st_percent_max,tp_percent_min,tp_percent_max,ExtremePoints_status,ExtremePoints_T_5M,ExtremePoints_T_1H,TrendLines_status,TrendLines_T_5M,TrendLines_long_T_5M,TrendLines_mid_T_5M,TrendLines_short1_T_5M,TrendLines_short2_T_5M,TrendLines_T_1H,TrendLines_long_T_1H,TrendLines_mid_T_1H,TrendLines_short1_T_1H,TrendLines_short2_T_1H,IchimokouFlatLines_T_5M,IchimokouFlatLines_T_1H,IchimokouFlatLines_status,score,islearned,isborn,corr,corr_low,corr_high
0,close,64,4,142,6,18,0.2,480,539,157,349,870,38,335,735,198,180,129,93,249,445,992,899,482,399,913,881,482,380,284,765,665,151,734,29,367,175,5,35,66,8,777,4,48,75,3,203,9,18,0.09,0.19,0.33,0.57,0.76,0.92,False,False,True,True,True,False,True,True,False,False,False,False,True,False,True,False,True,39.73674762394568,True,False,-0.1019726761225884,-0.0533137387603604,-0.0502246738383597
1,low,58,285,154,1,9,0.2,784,920,263,100,608,202,53,6,174,42,400,324,224,839,809,682,479,409,686,512,293,272,198,8,128,967,833,975,809,763,20,36,65,10,659,8,32,33,8,683,16,24,0.32,0.32,0.13,0.21,0.55,0.7,True,True,False,False,False,True,True,True,False,False,True,True,True,False,False,True,True,39.61440546731764,True,False,-0.1245195156828545,-0.072429871493002,-0.0701472996296975
2,high,53,343,152,3,11,0.25,979,610,279,225,408,262,196,935,249,220,628,92,273,791,793,632,321,262,806,613,431,322,781,473,648,642,808,290,805,913,4,31,37,13,591,13,40,75,9,801,12,17,0.03,0.21,0.13,0.21,0.55,0.7,True,True,False,True,False,False,True,True,True,False,True,False,False,True,True,False,False,40.72543350215464,True,False,-0.2016853735768032,-0.1515896195223574,-0.1503319351578409
3,low,53,116,157,5,16,0.28,2932,636,10,26,194,55,11,465,363,222,223,122,391,403,852,745,405,275,787,579,428,404,541,261,954,929,191,553,146,325,11,15,14,1,714,4,32,81,2,108,21,7,0.39,0.35,0.04,0.97,0.34,0.49,True,True,True,False,True,False,True,True,True,False,False,True,True,True,False,False,True,18.9989269156762,True,False,-0.1727692867118435,-0.1185721518100854,-0.1162907890152023
4,high,61,157,144,1,12,0.19,1190,280,107,287,470,329,89,96,106,106,894,70,257,633,963,956,437,303,977,690,451,366,285,651,35,468,160,796,962,8,24,56,23,9,355,6,26,69,5,312,18,12,0.19,0.19,0.13,0.21,0.55,0.7,True,True,False,False,True,False,True,True,True,False,True,False,True,True,False,True,False,42.4369601444742,True,False,-0.1808098193711042,-0.1239412329588886,-0.1216645790394395
5,high,68,302,147,6,13,0.39,240,819,372,242,134,385,113,177,222,194,868,306,341,708,913,911,280,275,568,552,368,272,554,179,977,682,532,161,725,725,19,23,85,5,164,2,34,72,19,642,8,17,0.06,0.23,0.05,0.88,0.37,0.48,True,True,True,False,False,True,True,True,False,True,True,True,True,False,False,False,False,27.988632350665213,True,False,-0.2224986334011949,-0.1753470985576237,-0.1744941850146776
6,open,68,315,201,3,3,0.24,770,561,193,291,290,69,27,725,357,38,512,68,11,461,748,607,488,382,992,774,427,383,317,240,159,792,124,88,153,534,4,13,12,19,255,2,17,19,1,945,17,12,0.13,0.34,0.13,0.21,0.55,0.7,False,False,True,True,False,False,True,True,False,True,False,False,False,True,True,True,True,27.211918605326684,True,False,-0.1120771233678854,-0.0683216215898134,-0.0664708247319942
7,low,62,241,178,5,4,0.32,265,890,331,280,764,323,387,234,279,176,885,260,111,442,654,635,344,343,814,683,408,327,948,225,389,291,650,172,316,234,3,12,10,15,703,7,29,68,13,267,5,16,0.39,0.36,0.05,0.9,0.34,0.47,False,False,False,True,True,False,True,True,True,True,True,False,True,False,False,False,False,20.68595270006103,True,False,-0.2427977153196075,-0.214063959843354,-0.2115939031614003
8,open,68,339,175,4,11,0.39,1548,784,217,65,946,310,191,239,113,9,283,151,381,374,928,811,469,419,828,612,405,285,13,270,873,599,780,642,609,879,7,29,13,5,925,3,29,103,8,983,7,2,0.25,0.29,0.97,0.97,0.96,1.0,True,False,False,True,False,False,False,False,True,True,True,True,False,True,False,True,False,32.79197931732403,True,False,-0.1054432032922748,-0.0598396073947336,-0.059010453722449
9,HLC/3,59,9,147,4,10,0.31,2436,312,195,115,821,113,338,680,290,125,405,228,163,845,903,574,443,340,936,578,424,363,447,409,29,992,968,703,64,170,7,23,26,8,13,15,33,83,3,600,5,20,0.17,0.35,0.2,0.6,0.7,0.99,False,False,True,True,False,True,False,True,True,False,False,False,True,True,True,False,False,38.957010250282885,True,False,-0.1534994352802263,-0.0969598568831038,-0.0951573443772815
